Number of parameters: 7346
step=132, E=(-24.890207494686997+0.002898781885904191j), E_err=0.058701348201860376, E_var=1.760828471445905, info=()
step=133, E=(-24.922487544770295-0.0014528407867095412j), E_err=0.061154201602654175, E_var=1.9110563869392738, info=()
step=134, E=(-24.96400080114386+0.0006666860873224185j), E_err=0.05924310550473883, E_var=1.7934799759711102, info=()
step=135, E=(-25.030888572307134-0.0037892537325953475j), E_err=0.05957086349095101, E_var=1.813379454076393, info=()
step=136, E=(-25.308850022856554-0.017610232118029572j), E_err=0.06950698213811615, E_var=2.468753709199631, info=()
step=137, E=(-25.602549658539594-0.020793967526602335j), E_err=0.0706274483204055, E_var=2.548988829144542, info=()
step=138, E=(-25.386143530580483+0.005055852388507103j), E_err=0.06613827490944105, E_var=2.235252689486364, info=()
step=139, E=(-25.262934499137714+0.0074234566441188435j), E_err=0.06710773714636083, E_var=2.3012621246864846, info=()
step=140, E=(-25.137072378789863-0.00019929743572458984j), E_err=0.06848351211499829, E_var=2.3965856215502144, info=()
step=141, E=(-25.150659863418404-0.0009925433909205644j), E_err=0.062732990294384, E_var=2.011003744421667, info=()
step=142, E=(-25.184626120610005-0.0022271125385400384j), E_err=0.05967974772496262, E_var=1.8200145394312577, info=()
step=143, E=(-25.1596063780248-0.012272866316730184j), E_err=0.0599894708097388, E_var=1.8389544067046093, info=()
step=144, E=(-25.294915669200257-0.012242172864627053j), E_err=0.055906530047928164, E_var=1.5971509921219464, info=()
step=145, E=(-25.26792525321823-0.006802423501538437j), E_err=0.05367185886180315, E_var=1.4720215696111532, info=()
step=146, E=(-25.18945650963375-0.007116591139557358j), E_err=0.051700462620369966, E_var=1.365871233766899, info=()
step=147, E=(-25.16017175828723-0.009668533827091229j), E_err=0.05218598824865648, E_var=1.391645835808834, info=()
step=148, E=(-25.268244227534012+0.0037282962381979066j), E_err=0.05192964785995894, E_var=1.3780077350251216, info=()
step=149, E=(-25.32836429401324+0.0020061162324018166j), E_err=0.05116958043172495, E_var=1.3379645663565305, info=()
step=150, E=(-25.262432424491926+0.0014353838976422593j), E_err=0.04783384131379204, E_var=1.1692070275396826, info=()
step=151, E=(-25.24223993379441+0.0013831958186019922j), E_err=0.04879230303571862, E_var=1.2165319949555216, info=()
step=152, E=(-25.267096093470357+0.0012135758301741958j), E_err=0.051357987922733085, E_var=1.3478355338939862, info=()
step=153, E=(-25.17765897266863-0.004395631326244539j), E_err=0.05168003265077542, E_var=1.364791970915244, info=()
step=154, E=(-25.255568686080885-0.007248711507374169j), E_err=0.048476702507634944, E_var=1.2008452405530212, info=()
step=155, E=(-25.303409433180224+0.0014518924093802j), E_err=0.04354969148191612, E_var=0.9691501459949097, info=()
step=156, E=(-25.21471461237409+0.005335533599026439j), E_err=0.04596759748392645, E_var=1.079753229425028, info=()
step=157, E=(-25.28516750466825+0.0012399463297166281j), E_err=0.047088054640700976, E_var=1.1330325787111224, info=()
step=158, E=(-25.294291855394466+0.002517910063420262j), E_err=0.04636775189006377, E_var=1.09863386023798, info=()
step=159, E=(-25.26529263303662-0.0012884077706860455j), E_err=0.04337545377647401, E_var=0.9614107250509822, info=()
step=160, E=(-25.275682225607582-0.002716448066388164j), E_err=0.041452794322055814, E_var=0.8780687542815045, info=()
step=161, E=(-25.24418650289333-0.003141794547866073j), E_err=0.040550188203309884, E_var=0.8402463770584884, info=()
step=162, E=(-25.212505193560297-0.0019486727003840507j), E_err=0.04222659293486394, E_var=0.9111565121031042, info=()
step=163, E=(-25.266553710788493-0.00417688162519116j), E_err=0.04136255937080979, E_var=0.8742501333466238, info=()
step=164, E=(-25.31655993979735-0.006083129823218971j), E_err=0.03795230299261574, E_var=0.7360328015485311, info=()
step=165, E=(-25.306540327181576-0.0037989432268398567j), E_err=0.04193845338775275, E_var=0.8987641088764786, info=()
step=166, E=(-25.343047301377283-0.0032716470194096734j), E_err=0.04050493004936929, E_var=0.8383718220934968, info=()
step=167, E=(-25.2478114025456-0.0007270240921540667j), E_err=0.045349312149279605, E_var=1.0509022174429403, info=()
step=168, E=(-25.23008621374512+0.002333136670998267j), E_err=0.04387794122685882, E_var=0.983814874143223, info=()
step=169, E=(-25.259382536384074+0.002737031768223654j), E_err=0.0454134435440447, E_var=1.053876616663877, info=()
step=170, E=(-25.28290615593451+0.0009069245804240787j), E_err=0.04343626791129607, E_var=0.964108488101625, info=()
step=171, E=(-25.322926411970215-0.0037664316708822224j), E_err=0.04156547197873868, E_var=0.8828488034766235, info=()
step=172, E=(-25.290052234405778-0.0006343903766843097j), E_err=0.04076989062557968, E_var=0.8493760146087039, info=()
step=173, E=(-25.18477206866397+0.0018824599546711082j), E_err=0.04789787546849323, E_var=1.1723395084159907, info=()
step=174, E=(-25.287622469830822+0.0014121868727053743j), E_err=0.03973004417909914, E_var=0.8066014457517894, info=()
step=175, E=(-25.23310161445956+0.0005691787239813617j), E_err=0.04237363029468979, E_var=0.9175130421633877, info=()
step=176, E=(-25.25797269361584+0.0006284034636930107j), E_err=0.04423566952790624, E_var=0.9999219683354699, info=()
step=177, E=(-25.344552285831213+0.0017519513791990514j), E_err=0.041671614016451405, E_var=0.8873634649301518, info=()
step=178, E=(-25.311948792666193-0.0025111640865116552j), E_err=0.04044498839014897, E_var=0.8358923108843146, info=()
step=179, E=(-25.28743076058852-0.0008679306776608504j), E_err=0.036786053622892244, E_var=0.6914922217257611, info=()
step=180, E=(-25.36506487556447+0.00018294859167133492j), E_err=0.03857386059065454, E_var=0.7603387303631656, info=()
step=181, E=(-25.315035830444582+5.5126849426969315e-06j), E_err=0.045847086787824225, E_var=1.0740991925013763, info=()
step=182, E=(-25.255632874559105+0.00023088899329787055j), E_err=0.04298707006931262, E_var=0.9442708666965803, info=()
step=183, E=(-25.364891650104216+0.001623890282609721j), E_err=0.0440468504746273, E_var=0.9914038937711636, info=()
step=184, E=(-25.286978233646817+0.00210699671887515j), E_err=0.04294319383824352, E_var=0.9423442453817966, info=()
step=185, E=(-25.313508407488968-0.00017502265253850407j), E_err=0.03730518764093454, E_var=0.711146959736846, info=()
step=186, E=(-25.296470967353812-0.00026141746990046566j), E_err=0.033866318116039275, E_var=0.5860799538984893, info=()
step=187, E=(-25.286108958742002-0.001298090312670446j), E_err=0.0374286387322144, E_var=0.7158614316441227, info=()
step=188, E=(-25.32305163975891-0.0032335390025399332j), E_err=0.04205668447314935, E_var=0.9038387662346354, info=()
step=189, E=(-25.20659565884004-0.00120630402596185j), E_err=0.0362086369949374, E_var=0.6699544158389172, info=()
step=190, E=(-25.255066830443+0.0017509656390573267j), E_err=0.04011865432102523, E_var=0.8224577829347872, info=()
step=191, E=(-25.26627422199448+0.00034260117431379397j), E_err=0.03833626099767059, E_var=0.7510008116208562, info=()
step=192, E=(-25.316937715383247-0.0015381836878567852j), E_err=0.03751593301465214, E_var=0.7192045125094919, info=()
step=193, E=(-25.346999990253508-0.004965090140294051j), E_err=0.03823542454630442, E_var=0.7470552697106668, info=()
step=194, E=(-25.30676354098665+0.0006097675715082232j), E_err=0.035635464395772525, E_var=0.6489119109009116, info=()
step=195, E=(-25.343417364249156-0.002319072380902042j), E_err=0.03536861416875404, E_var=0.6392297616594946, info=()
step=196, E=(-25.40569728205336-0.0012733755754070887j), E_err=0.03422909431589124, E_var=0.598703388717637, info=()
step=197, E=(-25.316639942579826+0.00013021682405393674j), E_err=0.04026733669618874, E_var=0.8285652447527607, info=()
step=198, E=(-25.301350280245742+0.0013317032747369737j), E_err=0.03787295644503184, E_var=0.7329583840723994, info=()
step=199, E=(-25.34328413417134+0.0010498743350327547j), E_err=0.03945776258031687, E_var=0.7955835792286183, info=()
step=200, E=(-25.296797305288777+0.002746592846335613j), E_err=0.03746105203227594, E_var=0.7171018442954564, info=()
step=201, E=(-25.25940232403211+0.0009419749623108863j), E_err=0.037016016137760836, E_var=0.7001647653133061, info=()
step=202, E=(-25.39022994475744+0.0028552835060925686j), E_err=0.0387993822116781, E_var=0.7692553426640282, info=()
step=203, E=(-25.292920543639944-0.00040489093885755396j), E_err=0.03757607888709806, E_var=0.721512431014532, info=()
step=204, E=(-25.320938909268598+0.00019167631197143805j), E_err=0.04134031411058326, E_var=0.8733100226592234, info=()
step=205, E=(-25.3852452336478-0.0016862068780242716j), E_err=0.03775429514882717, E_var=0.7283726559164098, info=()
step=206, E=(-25.370499771149024-0.0014879675971745724j), E_err=0.04262955046413659, E_var=0.9286293506877022, info=()
step=207, E=(-25.307747715537165-0.002279008247483582j), E_err=0.037641805456802284, E_var=0.7240387197224003, info=()
step=208, E=(-25.305713470649387-0.0011072671218503678j), E_err=0.0370391402750545, E_var=0.701039833193049, info=()
step=209, E=(-25.333382280940658+0.0018142178781220745j), E_err=0.03549701025097666, E_var=0.6438792834833083, info=()
step=210, E=(-25.25028730252609-0.0010064455476381845j), E_err=0.03444631574285594, E_var=0.6063263694790842, info=()
step=211, E=(-25.30906402009841+0.0005247619194182452j), E_err=0.03358768798413739, E_var=0.5764758526852011, info=()
step=212, E=(-25.342178985911566-0.0014470798459081976j), E_err=0.029506230618319685, E_var=0.44488561674904914, info=()
step=213, E=(-25.283312558592822+0.002976865613685724j), E_err=0.03363702592568938, E_var=0.5781707012071303, info=()
step=214, E=(-25.326516688397433-0.0004992209272076601j), E_err=0.035673343782304995, E_var=0.6502921903279748, info=()
step=215, E=(-25.32230696194202+0.0006869419767441589j), E_err=0.0364087366493314, E_var=0.6773796093485875, info=()
step=216, E=(-25.35410305813486+0.0025050207584073306j), E_err=0.03732099929338865, E_var=0.7117499209993864, info=()
step=217, E=(-25.28738524611811+0.0005645046043604022j), E_err=0.04320359950902065, E_var=0.9538075663838188, info=()
step=218, E=(-25.301748165530846+0.0007166265206509688j), E_err=0.03998277165857053, E_var=0.8168958570752107, info=()
step=219, E=(-25.332057343415535-0.0016909001698095717j), E_err=0.03785398396069064, E_var=0.7322242159667705, info=()
step=220, E=(-25.35311081819857+0.0022716896024942397j), E_err=0.036365327731210526, E_var=0.6757653381701566, info=()
step=221, E=(-25.316828678141633-0.0011279214328112457j), E_err=0.03486605682461947, E_var=0.6211930203522704, info=()
step=222, E=(-25.3426882586235+0.0007279428660347417j), E_err=0.037030269128140836, E_var=0.700704064999998, info=()
step=223, E=(-25.351545488967872-0.0025356034410869577j), E_err=0.03379225221875058, E_var=0.583519234417999, info=()
step=224, E=(-25.32245471896293-0.002547337468478979j), E_err=0.0398362505802929, E_var=0.810919625611198, info=()
step=225, E=(-25.329884043964476+0.0007811345908357481j), E_err=0.040281006039994134, E_var=0.8291278777205565, info=()
step=226, E=(-25.304940010011716-0.0023871563779870307j), E_err=0.04087150175001456, E_var=0.8536151038590375, info=()
step=227, E=(-25.3160757832481-0.0035088963763957337j), E_err=0.038767804428737736, E_var=0.768003699374902, info=()
step=228, E=(-25.294506308221308+0.0005209193873182525j), E_err=0.03713228131073523, E_var=0.7045700271385239, info=()
step=229, E=(-25.35305560810367-0.002972460215788171j), E_err=0.036668152860409205, E_var=0.6870668048733054, info=()
step=230, E=(-25.366008157356447-0.0025768031182367944j), E_err=0.03673495819640533, E_var=0.6895726055364317, info=()
step=231, E=(-25.398817666805723-0.001788151387044837j), E_err=0.03666919770074987, E_var=0.687105960668523, info=()
step=232, E=(-25.361116831872316-0.00043258831418776004j), E_err=0.03711506637350585, E_var=0.7039168856258797, info=()
step=233, E=(-25.35951133908762+0.002104979144527973j), E_err=0.03232803961101298, E_var=0.5340471961416156, info=()
step=234, E=(-25.304861527160476+0.0029967195487587786j), E_err=0.032736766400227026, E_var=0.5476365917892898, info=()
step=235, E=(-25.263225322676284+0.001268815686917872j), E_err=0.041936999244018024, E_var=0.8987017837579048, info=()
